"account_id","customer_id","branch_id","account_type","balance","opening_date"
1,1,38165,"Saving",75786.21,"2018-08-16"
2,2,202,"Current",177310.46,"2021-04-29"
3,3,19143,"Saving",149993.51,"2020-07-05"
4,4,49991,"Current",160257.99,"2019-07-03"
5,5,20760,"Current",79013.8,"2023-02-11"
6,6,49879,"Saving",50287.31,"2024-12-15"
7,7,18044,"Saving",183766.25,"2024-03-15"
8,8,8086,"Saving",190884.96,"2018-06-14"
9,9,39542,"Saving",180115.94,"2025-05-03"
10,10,30173,"Current",62807.95,"2021-10-23"
11,11,20467,"Current",18715.8,"2024-10-03"
12,12,37056,"Current",150227.23,"2023-12-13"
13,13,6515,"Saving",163311.21,"2025-11-08"
14,14,38840,"Saving",165698.61,"2021-10-12"
15,15,48459,"Current",17292.18,"2025-10-04"
16,16,12380,"Saving",46117.09,"2019-07-08"
17,17,20182,"Current",43851.6,"2022-03-12"
18,18,24941,"Current",87259.44,"2019-03-07"
19,19,23716,"Saving",124440.5,"2024-02-19"
20,20,17813,"Saving",149644.09,"2024-09-19"
21,21,21069,"Saving",26555.67,"2023-08-13"
22,22,13421,"Saving",77608.69,"2018-12-21"
23,23,44641,"Current",183658.84,"2019-09-17"
24,24,43873,"Current",53419.47,"2023-11-12"
25,25,32284,"Saving",175123.99,"2018-08-15"
26,26,38841,"Saving",120499.83,"2021-09-02"
27,27,11090,"Saving",29264.15,"2019-01-30"
28,28,17300,"Saving",186975.21,"2021-06-27"
29,29,11195,"Current",132043.42,"2020-03-25"
30,30,27007,"Saving",180711.05,"2023-04-29"
31,31,15562,"Current",95889.94,"2024-09-25"
32,32,12945,"Current",159350.46,"2019-02-17"
33,33,24140,"Saving",30943.96,"2025-07-25"
34,34,17813,"Current",61898.16,"2021-04-19"
35,35,2376,"Saving",169685.76,"2023-02-05"
36,36,7908,"Current",81700.17,"2023-09-16"
37,37,13667,"Saving",14816.67,"2020-10-27"
38,38,35771,"Saving",53190.51,"2020-05-14"
39,39,18791,"Current",118844.11,"2023-04-15"
40,40,5632,"Saving",50664.49,"2022-04-18"
41,41,9013,"Current",43823.75,"2022-11-19"
42,42,1616,"Current",146867.99,"2024-11-20"
43,43,12688,"Current",115905.01,"2021-03-15"
44,44,29414,"Current",117124.75,"2019-03-28"
45,45,21429,"Current",3204.19,"2020-03-06"
46,46,45012,"Saving",98941.09,"2023-10-08"
47,47,11295,"Saving",71463.98,"2020-03-25"
48,48,45952,"Saving",70857.92,"2019-10-28"
49,49,15109,"Saving",161159.4,"2024-09-01"
50,50,27233,"Saving",194581.75,"2024-11-16"
51,51,75,"Current",12401.89,"2018-07-19"
52,52,10735,"Current",189611.88,"2018-08-17"
53,53,13945,"Current",17014.95,"2020-04-25"
54,54,30708,"Saving",162926.47,"2018-06-24"
55,55,39048,"Current",88317.28,"2024-10-10"
56,56,30743,"Saving",87674.27,"2019-02-11"
57,57,9566,"Current",145868.27,"2025-05-21"
58,58,7888,"Current",25187.6,"2021-05-03"
59,59,15184,"Saving",109010.71,"2022-01-24"
60,60,21553,"Current",57484.54,"2018-06-21"
61,61,30510,"Saving",7556.49,"2022-11-12"
62,62,27976,"Current",82364.89,"2018-01-07"
63,63,33971,"Saving",45190.95,"2018-01-04"
64,64,21467,"Current",5614.24,"2023-06-08"
65,65,46723,"Saving",26348.52,"2022-11-19"
66,66,7681,"Saving",96069.2,"2018-12-08"
67,67,19937,"Current",7893.12,"2023-12-23"
68,68,36232,"Current",23973.4,"2022-01-10"
69,69,32637,"Current",196638.3,"2020-09-24"
70,70,14969,"Current",122198.78,"2024-09-17"
71,71,12279,"Current",5750.1,"2019-10-11"
72,72,36980,"Current",37167.52,"2021-05-28"
73,73,9731,"Current",114288.92,"2021-03-31"
74,74,13640,"Saving",117312.34,"2020-08-03"
75,75,42495,"Saving",184584.96,"2021-01-28"
76,76,17931,"Saving",34017.21,"2020-12-10"
77,77,48168,"Saving",69633.11,"2025-09-18"
78,78,26305,"Saving",59049.34,"2018-07-14"
79,79,6983,"Saving",26557.04,"2023-06-03"
80,80,20200,"Saving",5890.77,"2018-02-14"
81,81,22204,"Saving",116142.5,"2021-11-14"
82,82,314,"Saving",38182.64,"2021-08-23"
83,83,9014,"Current",49113.54,"2024-09-14"
84,84,48851,"Current",129192.86,"2020-09-19"
85,85,27100,"Saving",176253.34,"2023-10-11"
86,86,5128,"Saving",127161.1,"2021-07-15"
87,87,39084,"Current",100167.01,"2024-10-26"
88,88,33923,"Current",49242.04,"2023-08-17"
89,89,6370,"Saving",20899.1,"2019-03-22"
90,90,45544,"Saving",40879.52,"2019-11-17"
91,91,36521,"Saving",42327.42,"2022-02-27"
92,92,44679,"Current",146949.01,"2021-09-09"
93,93,16246,"Saving",115560.36,"2024-01-21"
94,94,46047,"Current",120593.03,"2021-12-19"
95,95,49487,"Current",151450.21,"2021-02-20"
96,96,45900,"Current",124298.94,"2021-07-23"
97,97,10026,"Saving",160902.96,"2019-05-31"
98,98,46783,"Current",101838.6,"2019-06-16"
99,99,7673,"Current",111009.46,"2023-03-05"
100,100,4383,"Saving",26123.71,"2019-06-01"
101,101,13089,"Saving",169338.77,"2019-12-19"
102,102,20187,"Current",119544.45,"2023-03-26"
103,103,3233,"Current",1340.46,"2019-04-21"
104,104,28842,"Current",129606.26,"2024-02-05"
105,105,18633,"Saving",30478.14,"2018-06-14"
106,106,25647,"Current",17341.72,"2022-04-16"
107,107,36727,"Saving",77123.78,"2021-11-27"
108,108,11666,"Saving",73346.84,"2025-09-06"
109,109,39932,"Saving",73881.0,"2019-03-09"
110,110,342,"Current",187113.54,"2023-07-20"
111,111,49017,"Current",110990.34,"2022-08-13"
112,112,24671,"Current",121229.61,"2020-09-05"
113,113,5032,"Saving",25934.36,"2023-05-12"
