"card_txn_id";"card_id";"amount";"txn_date";"merchant_name";"city"
1;30345;112.7;"2025-05-27 04:46:03";"Munshi Inc";"Nashik"
2;22285;18304.57;"2024-02-20 03:16:10";"Chadha LLC";"Ahmednagar"
3;1712;17400.83;"2025-01-06 15:18:22";"Mane and Sons";"Nagpur"
4;9924;8832.44;"2024-02-04 05:56:35";"Chaudhry, Chahal and Swamy";"Ahmednagar"
5;25796;11114.15;"2024-03-16 07:30:41";"Saran Ltd";"Pune"
6;26277;7286.13;"2025-10-05 11:39:25";"Venkataraman, Nayak and Mital";"Pune"
7;49110;5555.57;"2025-08-26 02:56:09";"Devi, Roy and Pai";"Pune"
8;35360;2918.73;"2024-03-26 14:54:09";"Devi-Dixit";"Aurangabad"
9;3356;3333.48;"2024-02-20 18:01:49";"Memon-Pant";"Solapur"
10;20628;1584.19;"2024-03-17 01:27:25";"Purohit PLC";"Nagpur"
11;14635;10145.81;"2024-01-01 18:05:02";"Sarin, Pant and Hayre";"Mumbai"
12;34143;8018.45;"2025-05-15 18:05:46";"Purohit-Suri";"Ahmednagar"
13;34596;7589.11;"2024-11-24 16:10:13";"Karnik, Peri and Badal";"Nagpur"
14;22695;4226.37;"2025-09-09 00:34:24";"Dhar Inc";"Solapur"
15;9575;4752.86;"2025-01-26 23:23:19";"Varma Group";"Nashik"
16;12544;13650.12;"2025-07-22 11:35:54";"Yogi, Venkatesh and Parsa";"Mumbai"
17;34444;19177.38;"2024-08-02 21:33:29";"Pandya PLC";"Kolhapur"
18;34312;14353.63;"2025-07-11 05:30:01";"Chaudry and Sons";"Mumbai"
19;37416;4081.18;"2024-05-15 20:03:33";"Ahluwalia, Jani and Issac";"Kolhapur"
20;27806;9031.48;"2024-07-25 02:07:40";"Parmer, Chakrabarti and Seshadri";"Nashik"
21;13076;4637.95;"2024-10-15 09:45:14";"Jain and Sons";"Mumbai"
22;15178;71.85;"2024-11-10 01:00:13";"Dhaliwal, Rama and Kalita";"Aurangabad"
23;6141;10783.26;"2025-05-14 11:41:58";"Loke-Ghose";"Mumbai"
24;31193;10750.85;"2024-03-28 00:53:20";"Seth and Sons";"Satara"
25;11594;2828.58;"2024-12-22 14:58:43";"Dixit-Saha";"Satara"
