"payment_id";"loan_id";"payment_date";"payment_amount"
1;44986;"2023-12-11";69275.87
2;35805;"2020-12-17";50763.5
3;5550;"2022-02-05";51143.9
4;18926;"2025-07-04";90761.79
5;31544;"2020-12-11";96674.66
6;34385;"2021-07-18";12402.18
7;39081;"2023-03-20";11296.34
8;17580;"2021-11-02";59436.81
9;9792;"2022-03-16";64900.14
10;2891;"2021-11-18";34839.94
11;3046;"2024-01-04";48665.66
12;12512;"2023-03-07";63535.75
13;29778;"2022-01-13";70551.63
14;31823;"2025-03-21";10802.05
15;32646;"2025-09-24";87894.64
16;42864;"2025-03-22";81214.61
17;33207;"2023-05-04";86751.49
18;23574;"2025-09-14";52558.13
19;41548;"2021-09-04";8834.16
20;1129;"2025-09-09";88830.99
21;34964;"2024-02-09";32348.0
22;35046;"2021-12-04";46808.7
23;30859;"2021-04-22";47199.26
24;23200;"2025-05-18";63748.59
25;29720;"2025-10-17";63050.39
26;35224;"2023-05-22";84550.92
27;34439;"2023-01-05";29429.68
28;32192;"2025-09-07";93585.18
29;704;"2025-08-18";91921.16
30;10742;"2024-10-30";20583.07
31;30075;"2023-01-11";40265.54
32;48775;"2022-09-17";52202.61
33;21080;"2023-11-01";55077.76
34;22403;"2023-03-22";78221.24
35;19638;"2025-10-31";24981.68
36;48143;"2022-08-18";76246.49
37;36663;"2024-06-09";30013.41
38;35544;"2022-12-15";87431.31
39;33530;"2024-07-02";50173.84
40;7773;"2025-10-11";30065.57
41;33786;"2025-04-17";36991.12
42;38647;"2025-05-12";2704.6
43;19271;"2022-12-10";95842.51
44;8244;"2022-06-12";10034.75
45;38245;"2023-09-30";43308.77
46;34773;"2022-08-24";23579.73
47;41845;"2022-09-13";97727.51
48;35529;"2024-09-13";61673.3
49;36694;"2024-11-25";580.74
50;35472;"2023-08-29";21007.52
51;25206;"2021-02-12";39495.57
52;4641;"2023-12-21";58590.87
53;9525;"2025-08-20";86931.25
54;47527;"2023-04-12";7496.03
55;7552;"2021-03-30";42909.78
56;24431;"2023-07-31";89781.38
57;21140;"2023-10-30";99367.62
58;17442;"2022-08-14";57803.86
59;16618;"2025-10-06";43768.06
60;44236;"2024-04-23";45315.47
61;12076;"2025-07-03";95500.66
62;33173;"2024-03-28";4000.92
63;3898;"2021-11-04";91913.09
64;10805;"2021-06-29";16536.78
65;46890;"2025-02-26";92050.52
66;16219;"2023-02-21";39210.66
67;8026;"2025-09-29";65730.55
68;33696;"2022-09-29";5050.08
69;46385;"2022-12-29";58191.89
70;8355;"2024-11-17";9579.32
71;21067;"2022-02-11";40940.49
72;48983;"2021-02-20";3857.27
73;25808;"2023-09-04";45734.59
74;1045;"2025-06-28";89739.94
75;25570;"2024-03-18";34094.42
76;6161;"2023-07-19";74642.05
77;39028;"2023-04-22";9601.1
78;19442;"2024-06-09";85685.05
79;691;"2022-05-02";57495.23
80;38554;"2023-01-24";96718.17
81;36389;"2022-07-06";39722.96
82;36036;"2021-09-08";38664.95
83;3313;"2023-05-28";5954.95
84;37249;"2025-09-03";10680.11
85;38612;"2025-08-14";37721.03
86;5285;"2022-11-05";93382.61
87;29318;"2024-01-22";1603.73
88;45623;"2022-05-08";12560.11
89;40133;"2023-02-28";62997.24
90;5009;"2021-12-09";49578.43
91;1753;"2021-06-21";37533.59
92;3645;"2023-11-04";94637.28
93;22200;"2024-10-29";31036.38
94;7371;"2024-03-16";96520.31
95;31202;"2025-07-16";20975.07
96;25453;"2025-05-19";3588.34
97;11430;"2023-10-02";66671.85
98;7665;"2025-05-10";26312.62
99;26972;"2022-04-11";95857.98
100;21879;"2024-10-07";28030.28
101;7346;"2023-09-23";40753.43
102;26738;"2021-01-13";13296.86
103;2407;"2025-11-12";88964.48
104;3413;"2025-05-04";73347.19
105;41193;"2022-06-05";29554.62
106;34557;"2021-11-08";87635.66
107;23022;"2024-03-12";97000.22
108;37872;"2022-08-12";11420.14
109;38374;"2025-07-17";56622.36
110;40121;"2023-01-13";1767.7
111;11106;"2022-08-02";87909.14
112;34668;"2025-08-06";34554.82
113;7901;"2023-05-31";70811.64
114;27678;"2021-03-18";21892.01
115;32768;"2021-03-22";62108.82
116;47756;"2023-05-30";82286.13
117;41295;"2022-10-29";89335.52
118;18722;"2021-07-11";88189.78
119;45835;"2022-01-31";48181.37
120;580;"2021-08-13";51840.5
121;26251;"2025-08-04";93759.56
122;28438;"2021-05-19";3819.87
123;7215;"2021-06-16";46367.5
124;15250;"2023-04-09";94793.62
125;956;"2024-08-23";49490.57
126;8719;"2021-11-06";29421.6
127;9416;"2022-06-30";4301.23
128;41156;"2021-11-09";42683.95
129;45670;"2022-02-07";25264.25
130;17342;"2021-11-10";59665.26
131;5949;"2024-04-29";27245.77
132;4280;"2021-01-14";5513.33
133;45527;"2023-12-28";55657.32
134;15465;"2025-02-28";82577.57
135;38837;"2023-12-11";86128.24
136;22792;"2022-01-27";67733.74
137;41053;"2023-01-19";49659.35
138;25066;"2022-01-05";61654.05
139;32462;"2022-12-01";74067.23
140;44119;"2024-12-12";7744.35
141;43378;"2023-05-23";56481.64
142;11476;"2025-10-02";25995.3
143;15814;"2024-04-14";47036.05
144;6577;"2022-08-26";23673.47
145;31650;"2024-12-13";23341.73
146;44209;"2022-01-27";16798.29
147;46092;"2023-10-03";28692.07
148;509;"2023-07-03";53784.62
149;41918;"2023-11-06";11936.4
150;39134;"2022-12-29";37943.65
151;39373;"2021-11-13";7002.9
152;5281;"2024-12-07";46696.81
153;3211;"2021-05-12";40535.82
154;2682;"2025-08-04";38626.57
155;2430;"2022-10-11";25110.24
156;9854;"2022-04-25";83643.66
157;32190;"2021-12-18";16375.33
158;17581;"2025-11-26";74586.51
159;13802;"2023-12-03";52550.88
160;43906;"2021-11-08";69773.75
161;34697;"2022-05-08";50764.02
162;17806;"2024-05-24";7694.91
163;35768;"2022-01-03";99754.67
164;15124;"2025-11-26";32115.31
165;46147;"2023-01-22";49531.55
166;38444;"2022-12-11";59576.96
167;26008;"2024-08-25";69954.78
168;41757;"2023-07-04";1637.2
169;24831;"2023-05-17";47260.59
170;385;"2021-03-22";88761.92
171;19840;"2023-01-30";40525.12
172;20028;"2023-06-14";36839.16
173;18773;"2024-07-30";22716.82
174;20297;"2023-04-11";48204.24
175;48541;"2025-10-28";23434.35
176;36585;"2025-10-29";44322.8
177;30867;"2021-06-17";68649.73
178;14102;"2024-10-31";39153.56
179;17577;"2024-08-11";3897.17
180;10428;"2022-06-27";91139.27
181;29511;"2021-02-04";45713.7
182;42705;"2024-07-12";83698.67
183;45504;"2021-03-19";90489.74
184;21987;"2025-10-13";23806.22
185;28837;"2021-09-19";69307.5
186;32141;"2025-08-03";46779.28
187;27343;"2025-07-11";13832.21
188;29950;"2025-07-08";32746.12
189;39766;"2023-12-10";17680.77
190;8796;"2022-08-12";98148.4
191;8820;"2022-01-04";94676.53
192;32584;"2023-06-13";48268.43
193;31969;"2023-10-31";65538.14
194;14857;"2024-06-02";46047.2
195;25632;"2024-08-22";3202.18
196;44580;"2024-11-17";97269.77
197;20488;"2023-01-07";7228.26
198;47093;"2024-10-14";80000.24
