"loan_id";"customer_id";"branch_id";"loan_type";"loan_amount";"interest_rate";"start_date"
1;21092;39184;"Personal Loan";4662625.28;11.26;"2022-06-23"
2;15951;39109;"Personal Loan";3422021.97;12.45;"2020-08-12"
3;20809;8607;"Personal Loan";202787.46;10.56;"2023-02-27"
4;30914;22321;"Home Loan";1038170.54;10.49;"2023-09-15"
5;5168;14828;"Car Loan";2012156.56;8.38;"2024-02-03"
6;27529;21333;"Home Loan";293216.72;7.34;"2024-05-30"
7;19199;28233;"Car Loan";1064990.08;10.45;"2020-02-19"
8;32787;40316;"Personal Loan";3012618.19;12.42;"2020-05-03"
9;36178;18371;"Home Loan";4268275.13;12.4;"2025-10-25"
10;47190;35102;"Education Loan";4313715.29;11.31;"2018-02-12"
11;17712;18835;"Home Loan";2341327.74;10.77;"2021-02-27"
12;12238;43871;"Home Loan";3787868.25;8.41;"2024-06-12"
13;20931;4619;"Car Loan";3189483.32;11.42;"2018-04-13"
14;737;41448;"Education Loan";195572.16;8.03;"2021-08-02"
15;45859;22738;"Home Loan";4471072.47;7.65;"2022-05-01"
16;6603;45486;"Car Loan";2043683.42;10.15;"2023-10-30"
17;40775;6155;"Car Loan";4155662.54;11.62;"2020-06-09"
18;23595;47002;"Personal Loan";2513650.21;9.14;"2020-12-22"
19;16704;22532;"Home Loan";3285476.97;12.33;"2018-01-10"
20;20626;19798;"Personal Loan";3454428.67;8.94;"2025-04-13"
21;33626;41541;"Car Loan";1417163.53;8.11;"2023-11-03"
22;17533;29212;"Car Loan";944764.54;7.54;"2025-07-04"
23;8026;39020;"Personal Loan";3606882.98;9.92;"2022-01-20"
24;44203;5372;"Home Loan";775356.2;7.38;"2018-11-22"
25;12350;31521;"Personal Loan";895620.45;6.8;"2019-03-10"
26;21988;6330;"Home Loan";4915227.08;8.21;"2021-09-17"
27;31163;6272;"Car Loan";2630519.45;11.58;"2023-01-10"
28;42450;23193;"Car Loan";1376317.19;12.18;"2020-09-07"
29;42025;43044;"Education Loan";2118925.58;10.65;"2020-10-26"
30;27970;34499;"Personal Loan";643052.18;9.45;"2019-10-13"
31;25233;46386;"Personal Loan";763578.65;10.55;"2019-07-04"
32;20260;14509;"Personal Loan";4421335.69;12.05;"2022-07-30"
33;42036;29379;"Personal Loan";2658974.91;8.22;"2018-08-22"
34;29010;4331;"Home Loan";4307161.3;12.32;"2019-02-27"
35;72;15926;"Education Loan";219858.52;9.06;"2018-08-30"
36;5776;1012;"Home Loan";2771304.4;8.14;"2019-12-29"
37;37476;11564;"Education Loan";1776901.22;8.17;"2023-08-25"
38;6896;8042;"Personal Loan";962387.44;10.13;"2019-01-21"
39;25580;6474;"Education Loan";3821590.21;11.37;"2025-11-30"
40;20854;36312;"Personal Loan";220838.77;8.72;"2018-01-24"
41;5563;37633;"Personal Loan";290868.94;6.73;"2021-08-04"
42;169;23893;"Home Loan";174016.52;12.27;"2024-02-21"
43;19122;23815;"Home Loan";4384117.58;10.44;"2023-08-16"
44;47876;31079;"Car Loan";4336830.53;11.93;"2024-12-11"
45;5053;7635;"Car Loan";3459377.78;7.02;"2021-01-05"
46;16279;40439;"Car Loan";3597739.14;12.36;"2021-09-02"
47;1842;38182;"Home Loan";387547.95;7.51;"2024-10-11"
48;43861;6468;"Personal Loan";3827174.44;6.99;"2020-11-12"
49;21851;10316;"Personal Loan";4657604.12;9.36;"2022-08-20"
50;6295;32694;"Home Loan";2906649.76;10.51;"2021-12-12"
51;11814;32905;"Personal Loan";4757142.99;10.92;"2024-05-14"
52;2099;2536;"Education Loan";2919920.46;8.4;"2025-11-01"
53;38330;34879;"Car Loan";561761.64;11.41;"2021-10-05"
54;3437;15277;"Home Loan";683498.56;7.73;"2021-11-07"
55;19074;34391;"Personal Loan";4362350.63;10.41;"2021-06-28"
56;29897;23593;"Personal Loan";1362570.87;10.89;"2020-06-28"
57;9349;35128;"Car Loan";1819155.9;9.76;"2021-12-07"
58;26332;30388;"Education Loan";3452987.44;10.36;"2025-08-14"
59;1300;22606;"Home Loan";853252.71;8.73;"2020-07-30"
