"atm_id";"branch_id";"location";"city";"status"
1;46910;"62/680
Sethi Road";"Kolhapur";"Inactive"
2;22572;"75/22
Gulati Nagar";"Mumbai";"Active"
3;22240;"480
Patla Marg";"Solapur";"Active"
4;8705;"H.No. 738, Nagar Ganj";"Pune";"Inactive"
5;43004;"16, Verma Zila";"Ahmednagar";"Active"
6;6271;"78/75
Chada Street";"Nagpur";"Active"
7;20393;"51/08, Din Ganj";"Nashik";"Active"
8;33626;"H.No. 34, Goyal Road";"Ahmednagar";"Active"
9;11967;"231
Sankar Road";"Nashik";"Active"
10;968;"006
Maharaj Marg";"Aurangabad";"Inactive"
11;16941;"H.No. 348
Sur Circle";"Solapur";"Inactive"
12;2149;"13/543, Bava Street";"Pune";"Active"
13;37788;"305, Parmar Path";"Satara";"Active"
14;49687;"86
Tak Nagar";"Mumbai";"Active"
15;35670;"81/54, Bail Chowk";"Kolhapur";"Active"
16;4770;"H.No. 045
Madan Road";"Aurangabad";"Active"
17;2247;"807
Trivedi Path";"Nagpur";"Inactive"
18;24858;"33, Lalla Ganj";"Ahmednagar";"Active"
19;26775;"77/443
Sawhney Zila";"Nagpur";"Inactive"
20;643;"09, Rai Marg";"Thane";"Active"
21;12908;"54
Pathak Path";"Kolhapur";"Inactive"
22;38224;"00/68
Sood Street";"Mumbai";"Active"
23;41072;"H.No. 470, Kant Road";"Ahmednagar";"Inactive"
24;16014;"206, Kant Path";"Aurangabad";"Inactive"
25;18913;"13
Boase Circle";"Satara";"Inactive"
26;10619;"90
Sachdeva Circle";"Ahmednagar";"Inactive"
27;5045;"83/29
Manda Marg";"Nashik";"Inactive"
28;33177;"68/894, Kohli Chowk";"Thane";"Active"
29;16738;"48/47
Chacko Chowk";"Ahmednagar";"Inactive"
30;35754;"509, Chaudhuri Road";"Satara";"Active"
31;47751;"71/441
Dugal Path";"Mumbai";"Inactive"
32;43909;"H.No. 70, Gokhale Nagar";"Mumbai";"Active"
33;36833;"76/178
Chawla Street";"Nagpur";"Active"
34;3879;"H.No. 358
Chowdhury Path";"Thane";"Inactive"
35;41151;"H.No. 03
Parmar Street";"Pune";"Active"
36;33339;"859
Chada Nagar";"Solapur";"Inactive"
37;48652;"33/409, Divan Ganj";"Pune";"Inactive"
38;5140;"H.No. 80, Dhar Street";"Pune";"Active"
39;25100;"230, Kant Nagar";"Thane";"Inactive"
40;1166;"22/49
Doctor Marg";"Solapur";"Inactive"
41;45560;"40/279
Bhatnagar Street";"Nashik";"Active"
42;38352;"H.No. 454
Madan Road";"Kolhapur";"Active"
43;33137;"H.No. 53, Magar Chowk";"Satara";"Active"
44;40839;"56/661
Deshmukh Nagar";"Ahmednagar";"Inactive"
45;48042;"H.No. 090
Mani Circle";"Thane";"Active"
46;43020;"81/50, Chatterjee Street";"Kolhapur";"Inactive"
47;40583;"92, Boase";"Pune";"Inactive"
48;4778;"H.No. 14
Dash Circle";"Satara";"Active"
49;30852;"H.No. 79, Mani Path";"Kolhapur";"Active"
50;32802;"36/23, Mody Circle";"Nashik";"Active"
51;4157;"74/87, Basu Marg";"Ahmednagar";"Active"
52;14375;"H.No. 727
Rajagopalan Circle";"Aurangabad";"Active"
53;12708;"17
Goel Marg";"Aurangabad";"Active"
54;32649;"H.No. 294
Lad";"Ahmednagar";"Inactive"
55;45383;"52/85
Ganguly Nagar";"Ahmednagar";"Active"
56;43816;"11
Patel Chowk";"Aurangabad";"Active"
57;48206;"H.No. 18
Radhakrishnan Path";"Pune";"Inactive"
58;394;"36/785
Sheth Zila";"Mumbai";"Active"
59;34041;"41
Bhandari Path";"Aurangabad";"Inactive"
60;28008;"H.No. 37, Krishnamurthy Road";"Ahmednagar";"Active"
61;42561;"H.No. 36
Tara Street";"Aurangabad";"Inactive"
62;36167;"H.No. 17
Shankar Path";"Ahmednagar";"Active"
63;37241;"35/632, Oak Ganj";"Satara";"Inactive"
64;44719;"46, Iyer Chowk";"Aurangabad";"Active"
65;4842;"H.No. 91
Vasa Ganj";"Kolhapur";"Inactive"
66;33618;"H.No. 37
Das Path";"Ahmednagar";"Active"
67;42529;"59, Trivedi Road";"Mumbai";"Inactive"
68;2629;"60/124, Bhatt Chowk";"Kolhapur";"Active"
69;26151;"H.No. 80, Lanka Road";"Mumbai";"Inactive"
70;7259;"H.No. 50
Palla Ganj";"Solapur";"Inactive"
71;22080;"24/95, Chanda Marg";"Solapur";"Inactive"
72;45277;"H.No. 361, Dixit Street";"Mumbai";"Inactive"
73;27871;"29, Karpe Circle";"Nashik";"Active"
74;1224;"68/042
Pau Marg";"Ahmednagar";"Inactive"
75;39720;"H.No. 09, Sampath Street";"Mumbai";"Inactive"
76;47497;"76
Pant Nagar";"Kolhapur";"Inactive"
77;12912;"54
Krish Ganj";"Pune";"Inactive"
78;30113;"08/710, Walia Chowk";"Ahmednagar";"Active"
79;13051;"H.No. 876, Bose Circle";"Solapur";"Inactive"
80;36095;"H.No. 97
Murty Circle";"Ahmednagar";"Inactive"
81;13141;"40
Parikh Road";"Mumbai";"Active"
82;29645;"58
Mall Zila";"Nashik";"Active"
83;21426;"52/290, Jayaraman Marg";"Thane";"Inactive"
84;35467;"70, Zacharia";"Kolhapur";"Inactive"
85;13530;"99/73, Dewan Path";"Nashik";"Inactive"
86;10100;"H.No. 03, Bains Street";"Mumbai";"Inactive"
87;11852;"88/253, Wable Nagar";"Aurangabad";"Inactive"
88;17694;"H.No. 857, Singhal Ganj";"Pune";"Active"
89;41453;"97/703, Luthra Street";"Ahmednagar";"Inactive"
90;20463;"06/375
Sahni Road";"Nashik";"Inactive"
91;25266;"72
Ghosh Chowk";"Nashik";"Active"
92;604;"838, Acharya Street";"Mumbai";"Inactive"
93;36587;"H.No. 815
Mander Circle";"Nashik";"Inactive"
94;30569;"61/21
Chacko Path";"Solapur";"Inactive"
95;25446;"41/94, Singhal Circle";"Ahmednagar";"Inactive"
96;25541;"244, Varughese";"Solapur";"Inactive"
97;11763;"00/75, Batta Street";"Thane";"Active"
98;23863;"H.No. 85
Badal";"Nashik";"Active"
99;11919;"H.No. 57
Khurana Ganj";"Kolhapur";"Inactive"
100;45102;"46/722
Aurora";"Kolhapur";"Active"
101;19867;"H.No. 848, Krishnan Chowk";"Nashik";"Inactive"
102;26833;"35, Nath Zila";"Aurangabad";"Active"
103;19405;"99/179, Magar Street";"Aurangabad";"Active"
104;38906;"H.No. 30, Mital Circle";"Solapur";"Active"
105;15278;"37/169, Kamdar Zila";"Nashik";"Inactive"
106;16831;"59
Sridhar Road";"Thane";"Inactive"
107;1891;"55/404
Tailor";"Aurangabad";"Active"
108;37867;"H.No. 713, Shroff Chowk";"Nagpur";"Inactive"
109;18804;"162, Borah Marg";"Nagpur";"Active"
110;23464;"H.No. 683, Ramanathan Marg";"Solapur";"Inactive"
111;29584;"42/91, Pandya Marg";"Satara";"Inactive"
112;12034;"26, Roy Path";"Mumbai";"Inactive"
113;19143;"H.No. 996
Gandhi Zila";"Nagpur";"Inactive"
114;9125;"17/86
Mukhopadhyay Street";"Satara";"Active"
115;179;"788
Joshi Ganj";"Aurangabad";"Inactive"
116;9749;"H.No. 523, Prabhu Circle";"Aurangabad";"Inactive"
117;11532;"H.No. 918, Borah Path";"Pune";"Inactive"
118;32884;"H.No. 691, Setty Chowk";"Nashik";"Active"
