"branch_id";"branch_name";"branch_code";"city";"ifsc_code"
1;"Secunderabad Branch 1";"BR00001";"Surat";"IFSC00001"
2;"Kamarhati Branch 2";"BR00002";"Morena";"IFSC00002"
3;"Karaikudi Branch 3";"BR00003";"Surat";"IFSC00003"
4;"Guntur Branch 4";"BR00004";"Bhatpara";"IFSC00004"
5;"Patiala Branch 5";"BR00005";"Guntur";"IFSC00005"
6;"Hyderabad Branch 6";"BR00006";"Jorhat";"IFSC00006"
7;"Dehri Branch 7";"BR00007";"Panipat";"IFSC00007"
8;"Saharanpur Branch 8";"BR00008";"Shimoga";"IFSC00008"
9;"Vijayanagaram Branch 9";"BR00009";"Delhi";"IFSC00009"
10;"Nagaon Branch 10";"BR00010";"Thane";"IFSC00010"
11;"Anand Branch 11";"BR00011";"Visakhapatnam";"IFSC00011"
12;"Ranchi Branch 12";"BR00012";"Dehradun";"IFSC00012"
13;"Bahraich Branch 13";"BR00013";"Nadiad";"IFSC00013"
14;"Hosur Branch 14";"BR00014";"Hubli–Dharwad";"IFSC00014"
15;"Junagadh Branch 15";"BR00015";"Thoothukudi";"IFSC00015"
16;"Karaikudi Branch 16";"BR00016";"Gangtok";"IFSC00016"
17;"Ulhasnagar Branch 17";"BR00017";"Narasaraopet";"IFSC00017"
18;"Bokaro Branch 18";"BR00018";"Karawal Nagar";"IFSC00018"
19;"Rourkela Branch 19";"BR00019";"Durg";"IFSC00019"
20;"Bikaner Branch 20";"BR00020";"Shimoga";"IFSC00020"
21;"Jamshedpur Branch 21";"BR00021";"Thrissur";"IFSC00021"
22;"Vasai-Virar Branch 22";"BR00022";"Serampore";"IFSC00022"
23;"Moradabad Branch 23";"BR00023";"Bilaspur";"IFSC00023"
24;"Akola Branch 24";"BR00024";"Ajmer";"IFSC00024"
25;"Dhule Branch 25";"BR00025";"Silchar";"IFSC00025"
26;"Dhule Branch 26";"BR00026";"Amravati";"IFSC00026"
27;"Arrah Branch 27";"BR00027";"Jodhpur";"IFSC00027"
28;"Malda Branch 28";"BR00028";"Bikaner";"IFSC00028"
29;"Kamarhati Branch 29";"BR00029";"Purnia";"IFSC00029"
30;"Nagpur Branch 30";"BR00030";"Pali";"IFSC00030"
31;"Malda Branch 31";"BR00031";"Sasaram";"IFSC00031"
32;"Saharanpur Branch 32";"BR00032";"Kharagpur";"IFSC00032"
33;"Rohtak Branch 33";"BR00033";"Tiruvottiyur";"IFSC00033"
34;"Imphal Branch 34";"BR00034";"Erode";"IFSC00034"
35;"Naihati Branch 35";"BR00035";"Latur";"IFSC00035"
36;"Gudivada Branch 36";"BR00036";"Anantapuram";"IFSC00036"
37;"Malegaon Branch 37";"BR00037";"Kurnool";"IFSC00037"
38;"Chinsurah Branch 38";"BR00038";"Kottayam";"IFSC00038"
39;"Bharatpur Branch 39";"BR00039";"Jalgaon";"IFSC00039"
40;"Patiala Branch 40";"BR00040";"Bidhannagar";"IFSC00040"
41;"Nadiad Branch 41";"BR00041";"Morbi";"IFSC00041"
42;"Tadepalligudem Branch 42";"BR00042";"Hindupur";"IFSC00042"
43;"Tinsukia Branch 43";"BR00043";"Saharsa";"IFSC00043"
44;"Guntakal Branch 44";"BR00044";"Srikakulam";"IFSC00044"
45;"Bahraich Branch 45";"BR00045";"Aurangabad";"IFSC00045"
46;"Miryalaguda Branch 46";"BR00046";"Chapra";"IFSC00046"
47;"Farrukhabad Branch 47";"BR00047";"Suryapet";"IFSC00047"
48;"Haldia Branch 48";"BR00048";"Guntakal";"IFSC00048"
49;"Karawal Nagar Branch 49";"BR00049";"Bulandshahr";"IFSC00049"
